Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Additional_Notes
scaffolds_gt1000bp_ERR2597525.bin.108	7.71	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.109	13.49	0.07	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.11	100.0	98.36	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.110	41.48	0.6	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.111	42.96	8.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.112	12.65	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.113	35.26	0.16	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.114	56.98	3.68	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.115	38.69	2.4	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.116	37.37	0.14	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.117	25.31	1.94	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.118	65.48	2.66	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.119	49.39	0.51	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.12	73.47	9.3	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.120	44.19	0.22	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.121	67.14	2.72	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.122	30.26	0.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.123	71.36	21.88	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.124	77.47	2.74	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.125	39.38	7.98	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.126	57.1	2.69	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.127	52.54	2.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.128	67.45	1.83	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.129	20.68	0.66	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.13	18.75	0.47	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.130	64.39	2.79	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.131	47.58	0.34	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.132	18.05	0.02	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.133	10.89	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.134	29.03	0.52	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.135	13.3	0.13	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.136	73.91	25.12	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.137	54.62	6.88	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.138	9.32	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.139	30.51	0.1	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.14	55.63	1.96	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.140	61.84	0.44	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.141	67.38	2.49	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.142	49.55	4.28	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.143	56.18	6.15	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.144	58.91	6.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.145	5.88	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.146	81.5	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.147	38.63	4.13	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.148	84.54	5.23	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.149	68.4	4.18	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.15	39.99	0.72	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.150	85.08	2.76	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.151	6.52	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.152	78.68	1.69	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.153	20.87	1.7	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.154	53.32	13.62	Neural Network (Specific Model)	11	Low confidence prediction - substantial (35%) disagreement between completeness prediction models
scaffolds_gt1000bp_ERR2597525.bin.155	5.78	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.156	92.83	0.08	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.157	9.68	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.158	69.51	9.85	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.159	37.64	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.16	60.06	0.4	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.160	7.13	0.09	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.161	30.1	0.14	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.162	74.48	8.2	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.163	87.83	8.36	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.164	82.29	2.42	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.165	71.26	6.82	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.166	86.32	2.02	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.167	27.82	12.9	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.168	10.57	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.169	35.47	33.16	Gradient Boost (General Model)	11	Low confidence prediction - substantial (49%) disagreement between completeness prediction models
scaffolds_gt1000bp_ERR2597525.bin.17	36.63	0.23	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.170	51.63	0.19	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.171	13.95	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.172	54.54	2.12	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.173	66.43	1.09	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.174	11.01	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.175	11.36	0.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.176	13.43	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.177	96.27	8.15	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.178	13.21	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.179	7.15	0.83	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.18	65.62	2.36	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.180	4.89	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.181	7.81	0.25	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.182	67.62	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.183	80.73	2.55	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.184	54.53	3.53	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.185	44.86	0.16	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.186	16.6	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.187	61.78	19.64	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.188	89.05	102.04	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.189	56.05	7.53	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.19	76.38	6.52	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.190	13.72	0.64	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.191	45.21	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.192	25.11	0.27	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.193	48.91	4.69	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.194	81.45	1.07	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.195	16.35	0.23	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.196	59.69	0.91	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.197	7.14	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.198	35.89	4.43	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.199	36.81	0.83	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.2	4.59	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.20	73.96	0.35	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.200	5.67	0.02	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.201	74.64	1.93	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.202	65.73	20.59	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.203	77.6	2.13	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.204	79.01	3.48	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.205	25.79	0.37	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.206	9.16	0.16	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.207	14.7	0.37	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.208	57.1	12.77	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.209	65.42	3.99	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.21	9.39	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.210	17.57	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.211	21.22	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.212	10.1	0.18	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.213	6.04	0.1	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.214	50.98	2.27	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.215	15.37	0.05	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.216	78.32	0.66	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.217	9.33	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.218	17.38	0.47	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.219	19.13	1.43	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.22	24.57	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.220	18.13	0.48	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.221	44.01	1.24	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.222	60.15	5.84	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.223	83.02	7.33	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.224	25.09	0.15	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.225	22.96	0.11	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.226	6.87	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.227	62.91	0.67	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.228	12.06	0.14	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.229	7.02	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.23	23.94	0.06	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.230	14.54	0.13	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.231	10.76	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.232	4.52	0.11	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.233	70.44	6.07	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.234	22.79	0.85	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.235	52.35	2.47	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.236	72.01	5.03	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.237	79.1	11.32	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.238	25.95	1.32	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.239	16.19	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.24	14.54	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.240	27.5	0.25	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.241	79.32	2.41	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.242	77.04	23.34	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.243	15.61	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.244	8.68	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.245	19.3	0.07	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.246	31.45	0.12	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.247	14.74	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.248	10.57	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.249	20.11	0.11	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.25	68.08	0.09	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.250	7.26	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.251	8.28	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.252	84.54	1.07	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.253	79.38	2.22	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.254	17.5	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.255	59.73	4.41	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.256	94.19	45.18	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.257	18.54	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.258	28.35	0.31	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.259	76.71	1.46	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.26	34.29	0.81	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.260	6.9	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.261	52.57	1.96	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.262	55.75	1.08	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.263	9.02	0.02	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.264	81.82	2.55	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.265	56.41	1.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.266	5.51	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.267	27.33	0.05	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.268	36.39	1.04	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.269	89.51	3.3	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.27	97.66	1.91	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.270	36.83	1.56	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.271	38.71	0.1	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.272	45.29	0.31	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.273	4.88	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.274	57.22	13.77	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.275	5.77	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.276	8.27	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.277	11.29	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.278	54.23	4.05	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.279	6.58	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.28	25.42	0.01	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.280	12.61	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.281	9.98	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.282	8.8	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.283	42.65	0.41	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.284	67.37	0.14	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.285	48.77	0.82	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.286	87.23	4.13	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.287	59.54	7.77	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.288	6.62	0.18	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.289	73.97	1.35	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.29	25.11	0.15	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.290	7.68	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.291	4.21	0.05	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.292	60.9	3.48	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.293	18.81	0.04	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.294	69.63	1.17	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.295	69.33	2.11	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.296	50.94	0.95	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.297	8.91	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.298	43.46	3.47	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.299	26.76	0.46	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.3	85.24	2.97	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.30	27.4	0.22	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.300	29.79	0.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.301	34.42	0.66	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.302	29.14	0.03	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.303	53.47	3.21	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.304	17.91	0.18	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.305	5.46	0.1	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.306	39.32	3.18	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.307	9.95	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.308	23.48	0.17	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.309	54.6	11.21	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.31	62.92	13.96	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.310	10.03	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.311	11.25	0.2	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.312	5.38	0.09	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.313	7.12	0.0	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.314	51.57	1.74	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.315	65.88	1.62	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.316	40.87	1.39	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.32	48.29	0.6	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.33	56.19	3.67	Neural Network (Specific Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.34	96.22	2.73	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.35	86.07	55.03	Gradient Boost (General Model)	11	None
scaffolds_gt1000bp_ERR2597525.bin.36	8.4	0.02	Neural Network (Specific Model)	11	None
